region,accepted_name,years_present,freq_occurrence,mean_wgt_cpua,total_biomass
British Columbia,Hippoglossus stenolepis,17,40.52011948690915,166.66167038528894,384321.8119084759
British Columbia,Gadus chalcogrammus,17,45.66859954313829,146.643057722077,381125.3070196782
British Columbia,Lepidopsetta bilineata,17,22.57951150940081,209.41399888743285,269096.9885703509
British Columbia,Sebastes babcocki,17,41.2932700755579,100.50002741164427,236175.06441736393
British Columbia,Hippoglossoides elassodon,17,32.47232472324723,127.72317440217206,236032.42629521404
British Columbia,Ophiodon elongatus,17,34.29977156914426,108.30137275000335,211404.27960800633
British Columbia,Citharichthys sordidus,17,18.57318573185732,153.16779184440296,161898.35597953413
British Columbia,Beringraja rhina,17,32.56018274468459,80.98490503203786,150065.02902436603
British Columbia,Eopsetta jordani,17,40.76612194693376,60.816164729220475,141093.50217179162
British Columbia,Sebastes elongatus,17,26.60340889123177,83.44086497005256,126329.4695646595
British Columbia,Sebastes helvomaculatus,17,20.52363380776665,50.76954151072453,59298.824484526194
British Columbia,Lyopsetta exilis,17,44.57916007731506,13.9148325403398,35301.93015484204
California Current,Microstomus pacificus,16,83.05761551625784,2959.4412876849324,25853679.089215543
California Current,Sebastolobus altivelis,16,35.833808708880014,2561.6671863509473,9654923.625356713
California Current,Merluccius productus,16,52.22475755847119,1690.770345040518,9287401.505307602
California Current,Squalus suckleyi,16,27.74291690435444,2811.8472142731,8204970.171248925
California Current,Anoplopoma fimbria,16,64.50846168473093,1195.4354407197943,8111029.465283824
California Current,Citharichthys sordidus,16,33.05761551625784,2191.20314992546,7618813.352290822
California Current,Glyptocephalus zachirus,16,61.98897128731698,1008.3997560193449,6574766.4092461225
California Current,Beringraja rhina,16,59.68815364137669,983.155133965127,6172247.931033032
California Current,Atheresthes stomias,16,35.93839132915003,1539.7240459610998,5820156.89373295
California Current,Sebastes diploproa,16,20.26050579958167,2625.893061974825,5595778.1150683565
California Current,Eopsetta jordani,16,42.93591937630728,901.3006536971748,4070273.7520964337
California Current,Sebastolobus alascanus,16,50.93173607149648,690.1933175251778,3697365.601982375
California Current,Hydrolagus colliei,16,49.55314698611903,615.1245404644908,3206029.104900932
California Current,Ophiodon elongatus,16,33.49496101920517,864.3206898947919,3045001.7904993463
California Current,Parophrys vetulus,16,41.73797299866895,692.6819849430743,3040873.913900091
California Current,Coryphaenoides acrolepis,16,18.996006845407873,1459.8103873358436,2916701.1538970205
California Current,Sebastes saxicola,16,21.990872789503708,1227.1024386502588,2838287.940598048
California Current,Sebastes elongatus,16,25.717817075489638,706.5363732628477,1911180.8896760042
California Current,Sebastes crameri,16,17.303669899220385,959.9476499013126,1747104.7228203919
California Current,Albatrossia pectoralis,16,16.676174177600306,852.3850843765389,1495083.4379964462
California Current,Beringraja binoculata,16,15.544780376497433,829.303313557764,1355910.9176669456
California Current,Lyopsetta exilis,16,50.0760600874691,213.42335429682427,1124100.8070813725
California Current,Alepocephalus tenebrosus,16,21.762692527096405,384.57886458351453,880301.0210316645
California Current,Apristurus brunneus,16,34.19851682829435,184.15177573508265,662393.9373190929
California Current,Microstomus bathybius,16,21.79121505989732,242.55884328231568,555944.8688030671
California Current,Lycodes cortezianus,16,26.563985548583382,188.89646450527584,527776.7218277411
California Current,Bothrocara brunneum,16,18.130823350446853,142.48874086465815,271726.02882890316
California Current,Lycodes diapterus,16,16.40996387145845,97.58755344556253,168436.11724704082
California Current,Lycodes pacificus,16,20.76440387906446,61.4521618563916,134211.52149435904
Celtic-Biscay Shelf,Micromesistius poutassou,27,64.35348043918559,1097.616908360693,6626313.275773506
Celtic-Biscay Shelf,Melanogrammus aeglefinus,27,74.89606651742885,918.9434228330588,6456496.488825084
Celtic-Biscay Shelf,Merlangius merlangus,27,64.49205841594713,884.6304245675818,5352014.068633855
Celtic-Biscay Shelf,Capros aper,27,49.52563692570089,948.3613913049413,4406087.024002766
Celtic-Biscay Shelf,Merluccius merluccius,27,83.60515936467327,476.26902979663987,3735378.0006950535
Celtic-Biscay Shelf,Trisopterus esmarkii,27,52.17993817290267,548.0506499352325,2682707.9314329573
Celtic-Biscay Shelf,Scyliorhinus canicula,27,86.493977187933055,235.10030803370321,1907603.8993854688
Celtic-Biscay Shelf,Eutrigla gurnardus,27,72.47628184628505,188.61402337929832,1282386.7449558482
Celtic-Biscay Shelf,Trisopterus minutus,27,82.69907259354014,138.69692581025777,1076010.7504359805
Celtic-Biscay Shelf,Squalus acanthias,27,27.417119710052233,332.54513105720315,855306.0770791254
Celtic-Biscay Shelf,Gadus morhua,27,31.776996055857584,195.36167596965686,582373.1560655467
Celtic-Biscay Shelf,Pleuronectes platessa,27,42.959172796077176,100.6947277879195,405799.75298531586
Celtic-Biscay Shelf,Lophius piscatorius,27,56.678392495469566,60.09300294484878,319514.49665776076
Celtic-Biscay Shelf,Chelidonichthys cuculus,27,59.801726894787336,55.22979454295724,309839.1473859911
Celtic-Biscay Shelf,Limanda limanda,27,40.41146999253811,80.01661844903064,303343.0005402749
Celtic-Biscay Shelf,Lepidorhombus whiffiagonis,27,68.89457413921757,45.64622771639552,295011.56973106484
Celtic-Biscay Shelf,Helicolenus dactylopterus,27,24.61358064172263,99.54873634732374,229858.03222597038
Celtic-Biscay Shelf,Raja montagui,27,25.391749280460505,84.57475447634904,201457.0651626629
Celtic-Biscay Shelf,Zeus faber,27,48.779447820061826,43.09464623000433,197201.1011484999
Celtic-Biscay Shelf,Conger conger,27,27.36382048822087,71.66289565342467,183958.6531423416
Celtic-Biscay Shelf,Raja clavata,27,22.172476281846286,81.26619098465814,169033.6772480887
Celtic-Biscay Shelf,Leucoraja naevus,27,38.67391536083573,46.29810527636151,167969.52594263977
Celtic-Biscay Shelf,Microstomus kitt,27,52.35049568276303,30.687041894839282,150704.0627455548
Celtic-Biscay Shelf,Lophius budegassa,27,31.94755356571794,37.2968499353671,111778.65925629517
Celtic-Biscay Shelf,Molva molva,27,16.789254876878797,64.39438276097685,101421.15284853849
Celtic-Biscay Shelf,Callionymus lyra,27,63.916426820168425,15.528565330314231,93109.2777205646
Celtic-Biscay Shelf,Gadiculus argenteus,27,31.60643854599723,22.961649951174664,68081.29210523282
